Index,Close,Close.1,Close.2,Close.3,Close.4,Close.5,Close.6,Close.7,Close.8,Close.9,Close.10,Close.11,Close.12,Close.13,Close.14,Close.15,Close.16,Close.17
2011-09-27,8.52,6.09,5.83,16.85,69.8,6.08,8.39,15.4,8.02,16.92,12.28,203.46,12.8,5.15,7.15,11.86,9.6,44.09
2011-09-28,8.43,5.87,5.89,17.88,68.4,6.18,8.48,15.59,8.03,17.33,12.3,203.3,12.93,5.13,7.18,12.07,9.69,44.51
2011-09-29,8.45,5.92,5.86,17.92,67.89,6.16,8.46,16.08,8.05,17.39,12.3,205.93,12.96,5.07,7.29,11.96,9.72,44.04
2011-09-30,8.54,5.99,5.93,18.43,68.47,6.3,8.45,16.05,8.1,17.81,12.8,207.99,13.13,5.12,7.33,12.23,9.74,44.55
2011-10-10,8.42,5.98,6.07,18.97,69.6,6.44,8.96,16.6,8.22,18.69,13.16,206.44,13.37,5.21,7.9,13.28,9.59,45.26
2011-10-11,8.57,5.86,6.06,18.89,69.16,6.45,8.9,16.49,8.22,18.68,13.24,208.27,13.27,5.23,7.85,13.11,9.18,45.09
2011-10-12,8.85,5.81,6.02,18.68,72.31,6.43,8.91,16.82,8.18,18.45,13.13,210.45,13.16,5.29,7.94,13.14,9.4,45.55
2011-10-13,8.87,5.82,5.93,18.7,70.91,6.3,8.8,16.57,8.14,18.23,NA,210.94,12.92,5.19,7.74,12.88,9.87,44.84
2011-10-14,8.83,6,6.03,18.74,71.43,6.43,9.02,16.65,8.23,18.71,13.16,212.63,13.02,5.25,7.84,13.08,10.36,NA
2011-10-17,8.92,5.93,6.01,18.62,70.83,6.61,9.03,17.29,8.18,18.73,13.28,191.63,12.92,5.21,7.85,13.02,10.7,45.48
2011-10-18,8.78,5.87,6.16,19.2,72.49,7.05,9.24,17.8,8.28,19.28,13.82,193.02,13.39,5.31,8.08,13.45,11.24,46.88
2011-10-19,8.84,5.86,6.16,19.37,71.66,7,9.25,17.83,8.29,19.33,13.97,191.43,13.28,5.28,8.25,13.45,11.8,46.96
2011-10-20,8.73,5.87,6.1,19.14,71.59,6.78,9.11,17.61,8.24,19.13,14.09,191.07,13.17,5.28,8.34,13.34,12.39,47.45
2011-10-21,8.89,5.77,6.08,18.56,68.92,6.71,9.04,17.58,8.13,18.78,14.15,194.11,13.23,5.2,8.47,13.26,13.01,47.89
2011-10-24,9.16,5.82,6.06,18.31,68.05,6.73,9.03,17.8,8.09,18.92,13.99,194.08,13.41,5.22,8.27,13.29,12.36,47.93
2011-10-25,9.16,5.69,6.06,18.65,69.62,6.67,9.06,18.13,8.11,18.84,14.04,196.83,13.22,5.25,8.48,13.26,11.74,48.57
2011-10-26,9.18,5.76,5.92,18.15,68.76,6.49,8.82,18.18,8.01,18.42,14.01,193.74,12.96,5.19,8.33,12.82,11.15,47.76
2011-10-27,9.26,5.93,5.99,18.33,69.83,6.6,8.98,18.91,8.06,19.15,14.4,194.59,13.08,5.23,8.4,12.98,11.71,49.47
2011-10-28,9.38,5.72,5.97,18.48,70.06,6.64,8.98,18.56,8.05,19.2,14.49,193.25,13,5.21,8.24,12.96,12,50.08
2011-10-31,9.21,5.73,6.01,18.33,70.6,6.63,8.98,18.96,8.06,19.3,15.08,195.15,13.01,5.41,8.33,13.03,12.6,49.85
2011-11-01,9.18,5.56,5.99,18.39,69.27,6.78,8.91,19.15,8.03,19.36,14.4,198.96,12.98,5.33,8.33,12.91,12.22,50.28
2011-11-02,9.36,5.62,5.93,18.03,68.82,6.7,8.84,19.27,8,18.94,14.63,198.84,12.8,5.34,8.05,12.71,NA,51.25
2011-11-03,9.24,5.58,5.92,17.78,68.82,6.6,8.85,19.39,7.97,18.95,14.64,199.89,12.74,5.32,7.98,12.8,NA,49.93
2011-11-04,9.31,5.61,5.89,18.01,67.5,NA,8.76,19.93,7.89,18.19,14.57,203.43,12.63,5.29,7.94,12.66,NA,48.86
2011-11-07,9.18,5.52,5.9,18,67.13,6.47,8.91,19.89,7.88,18.09,14.99,206.28,12.64,5.31,7.98,12.82,NA,48.49
2011-11-08,9.21,5.4,5.8,17.41,65.22,6.08,8.58,19.36,7.72,17.52,14.59,203.65,12.33,5.16,7.95,12.29,12.83,48.67
2011-11-09,9.27,5.49,5.82,17.47,66.35,6.09,8.55,19.19,7.77,17.66,15.27,203.56,12.35,5.08,8.68,12.25,13.17,49.34
2011-11-10,9.05,5.76,5.81,17.25,67.48,6.15,8.54,19.15,7.76,18.11,15.58,204.32,12.26,5.12,8.51,12.3,13.19,49.84
2011-11-11,9.08,5.77,5.78,16.99,68.31,6.11,8.39,18.91,7.74,18.21,15.25,207.75,12.05,5.08,8.51,12.14,13.48,49.09
2011-11-14,9.21,5.8,5.81,NA,67.25,6.11,8.52,18.81,7.77,17.95,14.81,206.69,12.35,5.12,8.27,12.37,13.54,47.77
2011-11-15,9.18,5.85,5.8,NA,68.01,6.12,8.56,19.08,7.75,17.9,14.9,203.38,12.24,5.19,8.29,12.46,13.59,47.84
2011-11-16,8.92,5.74,5.71,NA,66.38,6.03,8.43,18.81,7.64,17.31,14.89,201.11,12.19,5.12,8.04,12.26,13.29,48.08
2011-11-17,8.86,5.79,5.68,16.96,65.27,6.01,8.4,19.33,7.6,17,14.82,201.79,12.17,5.07,7.82,12.26,13.1,49.45
2011-11-18,8.8,5.73,5.7,17.05,65.53,6.1,8.41,19.81,7.61,17.11,15,204.98,12.13,5.05,7.92,12.23,12.94,49.44
